"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ccg-deployment","ImplementationGuide.definition.resource.fhirVersion","ImplementationGuide.definition.resource.fhirVersion","","","",0,*,"","","","code {[]} {[]}
","Versions this applies to (if different to IG)","Indicates the FHIR Version(s) this artifact is intended to apply to. If no versions are specified, the resource is assumed to apply to all the versions stated in ImplementationGuide.fhirVersion.","The resource SHALL be valid against all the versions it is specified to apply to. If the resource referred to is a StructureDefinition, the fhirVersion stated in the StructureDefinition cannot disagree with the version specified here; the specified versions SHALL include the version specified by the StructureDefinition, and may include additional versions using the [applicable-version](http://hl7.org/fhir/R4/extension-structuredefinition-applicable-version.html) extension.","","","","","","","","",,"required","All published FHIR Versions.","http://hl7.org/fhir/ValueSet/FHIR-version|4.0.1","",,,,"ImplementationGuide.definition.resource.fhirVersion",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ccg-deployment","ImplementationGuide.definition.resource.name","ImplementationGuide.definition.resource.name","","","",0,1,"","","","string {[]} {[]}
","Human Name for the resource","A human assigned name for the resource. All resources SHOULD have a name, but the name may be extracted from the resource (e.g. ValueSet.name).","","","","","","","","","",,,,,"",,,,"ImplementationGuide.definition.resource.name",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ccg-deployment","ImplementationGuide.definition.resource.description","ImplementationGuide.definition.resource.description","","","",0,1,"","","","string {[]} {[]}
","Reason why included in guide","A description of the reason that a resource has been included in the implementation guide.","This is mostly used with examples to explain why it is present (though they can have extensive comments in the examples).","","","","","","","","",,,,,"",,,,"ImplementationGuide.definition.resource.description",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ccg-deployment","ImplementationGuide.definition.resource.example[x]","ImplementationGuide.definition.resource.example[x]","","","",0,1,"","","","boolean {[]} {[]}
canonical {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/StructureDefinition]]}","Is an example/What is this an example of?","If true or a reference, indicates the resource is an example instance.  If a reference is present, indicates that the example is an example of the specified profile.","Examples: 

* StructureDefinition -> Any 
* ValueSet -> expansion 
* OperationDefinition -> Parameters 
* Questionnaire -> QuestionnaireResponse.","","","","","","","","",,,,,"",,,,"ImplementationGuide.definition.resource.example[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ccg-deployment","ImplementationGuide.definition.resource.groupingId","ImplementationGuide.definition.resource.groupingId","","","",0,1,"","","","id {[]} {[]}
","Grouping this is part of","Reference to the id of the grouping this resource appears in.","This must correspond to a package.id element within this implementation guide.","","","","","","","","",,,,,"",,,,"ImplementationGuide.definition.resource.groupingId",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ccg-deployment","ImplementationGuide.definition.page","ImplementationGuide.definition.page","","","",0,1,"","","","BackboneElement {[]} {[]}
","Page/Section in the Guide","A page / section in the implementation guide. The root page is the implementation guide home page.","Pages automatically become sections if they have sub-pages. By convention, the home page is called index.html.","","","","","","","","",,,,,"",,,,"ImplementationGuide.definition.page",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ccg-deployment","ImplementationGuide.definition.page.id","ImplementationGuide.definition.page.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ccg-deployment","ImplementationGuide.definition.page.extension","ImplementationGuide.definition.page.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ccg-deployment","ImplementationGuide.definition.page.modifierExtension","ImplementationGuide.definition.page.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ccg-deployment","ImplementationGuide.definition.page.name[x]","ImplementationGuide.definition.page.name[x]","","","",1,1,"","","","url {[]} {[]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Binary]]}","Where to find that page","The source address for the page.","The publishing tool will autogenerate source for list (source = n/a) and inject included implementations for include (source = uri of guide to include).","","","","","","","","",,,,,"",,,,"ImplementationGuide.definition.page.name[x]",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ccg-deployment","ImplementationGuide.definition.page.title","ImplementationGuide.definition.page.title","","","",1,1,"","","","string {[]} {[]}
","Short title shown for navigational assistance","A short title used to represent this page in navigational structures such as table of contents, bread crumbs, etc.","","","","","","","","","",,,,,"",,,,"ImplementationGuide.definition.page.title",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ccg-deployment","ImplementationGuide.definition.page.generation","ImplementationGuide.definition.page.generation","","","",1,1,"","","","code {[]} {[]}
","html | markdown | xml | generated","A code that indicates how the page is generated.","","","","","","","","","",,"required","A code that indicates how the page is generated.","http://hl7.org/fhir/ValueSet/guide-page-generation|4.0.1","",,,,"ImplementationGuide.definition.page.generation",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ccg-deployment","ImplementationGuide.definition.page.page","ImplementationGuide.definition.page.page","","","",0,*,"","","","null {[]} {[]}
","Nested Pages / Sections","Nested Pages/Sections under this page.","The implementation guide breadcrumbs are generated from this structure.","","","","","","","","",,,,,"",,,,"ImplementationGuide.definition.page.page",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ccg-deployment","ImplementationGuide.definition.parameter","ImplementationGuide.definition.parameter","","","",0,*,"","","","BackboneElement {[]} {[]}
","Defines how IG is built by tools","Defines how IG is built by tools.","","","","","","","","","",,,,,"",,,,"ImplementationGuide.definition.parameter",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ccg-deployment","ImplementationGuide.definition.parameter.id","ImplementationGuide.definition.parameter.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ccg-deployment","ImplementationGuide.definition.parameter.extension","ImplementationGuide.definition.parameter.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ccg-deployment","ImplementationGuide.definition.parameter.modifierExtension","ImplementationGuide.definition.parameter.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ccg-deployment","ImplementationGuide.definition.parameter.code","ImplementationGuide.definition.parameter.code","","","",1,1,"","","","code {[]} {[]}
","apply | path-resource | path-pages | path-tx-cache | expansion-parameter | rule-broken-links | generate-xml | generate-json | generate-turtle | html-template","apply | path-resource | path-pages | path-tx-cache | expansion-parameter | rule-broken-links | generate-xml | generate-json | generate-turtle | html-template.","","","","","","","","","",,"required","Code of parameter that is input to the guide.","http://hl7.org/fhir/ValueSet/guide-parameter-code|4.0.1","",,,,"ImplementationGuide.definition.parameter.code",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ccg-deployment","ImplementationGuide.definition.parameter.value","ImplementationGuide.definition.parameter.value","","","",1,1,"","","","string {[]} {[]}
","Value for named type","Value for named type.","","","","","","","","","",,,,,"",,,,"ImplementationGuide.definition.parameter.value",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ccg-deployment","ImplementationGuide.definition.template","ImplementationGuide.definition.template","","","",0,*,"","","","BackboneElement {[]} {[]}
","A template for building resources","A template for building resources.","","","","","","","","","",,,,,"",,,,"ImplementationGuide.definition.template",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ccg-deployment","ImplementationGuide.definition.template.id","ImplementationGuide.definition.template.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ccg-deployment","ImplementationGuide.definition.template.extension","ImplementationGuide.definition.template.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ccg-deployment","ImplementationGuide.definition.template.modifierExtension","ImplementationGuide.definition.template.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ccg-deployment","ImplementationGuide.definition.template.code","ImplementationGuide.definition.template.code","","","",1,1,"","","","code {[]} {[]}
","Type of template specified","Type of template specified.","","","","","","","","","",,,,,"",,,,"ImplementationGuide.definition.template.code",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ccg-deployment","ImplementationGuide.definition.template.source","ImplementationGuide.definition.template.source","","","",1,1,"","","","string {[]} {[]}
","The source location for the template","The source location for the template.","","","","","","","","","",,,,,"",,,,"ImplementationGuide.definition.template.source",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ccg-deployment","ImplementationGuide.definition.template.scope","ImplementationGuide.definition.template.scope","","","",0,1,"","","","string {[]} {[]}
","The scope in which the template applies","The scope in which the template applies.","","","","","","","","","",,,,,"",,,,"ImplementationGuide.definition.template.scope",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ccg-deployment","ImplementationGuide.manifest","ImplementationGuide.manifest","","","",0,1,"","","","BackboneElement {[]} {[]}
","Information about an assembled IG","Information about an assembled implementation guide, created by the publication tooling.","","","","","","","","","",,,,,"",,,,"ImplementationGuide.manifest",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ccg-deployment","ImplementationGuide.manifest.id","ImplementationGuide.manifest.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ccg-deployment","ImplementationGuide.manifest.extension","ImplementationGuide.manifest.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ccg-deployment","ImplementationGuide.manifest.modifierExtension","ImplementationGuide.manifest.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ccg-deployment","ImplementationGuide.manifest.rendering","ImplementationGuide.manifest.rendering","","","",0,1,"","","Y","url {[]} {[]}
","Location of rendered implementation guide","A pointer to official web page, PDF or other rendering of the implementation guide.","","","","","","","","","",,,,,"",,,,"ImplementationGuide.manifest.rendering",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ccg-deployment","ImplementationGuide.manifest.resource","ImplementationGuide.manifest.resource","","","",1,*,"","","Y","BackboneElement {[]} {[]}
","Resource in the implementation guide","A resource that is part of the implementation guide. Conformance resources (value set, structure definition, capability statements etc.) are obvious candidates for inclusion, but any kind of resource can be included as an example resource.","","","","","","","","","",,,,,"",,,,"ImplementationGuide.manifest.resource",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ccg-deployment","ImplementationGuide.manifest.resource.id","ImplementationGuide.manifest.resource.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ccg-deployment","ImplementationGuide.manifest.resource.extension","ImplementationGuide.manifest.resource.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ccg-deployment","ImplementationGuide.manifest.resource.modifierExtension","ImplementationGuide.manifest.resource.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ccg-deployment","ImplementationGuide.manifest.resource.reference","ImplementationGuide.manifest.resource.reference","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource]]}
","Location of the resource","Where this resource is found.","Usually this is a relative URL that locates the resource within the implementation guide. If you authoring an implementation guide, and will publish it using the FHIR publication tooling, use a URI that may point to a resource, or to one of various alternative representations (e.g. spreadsheet). The tooling will convert this when it publishes it.","","","","","","","","",,,,,"",,,,"ImplementationGuide.manifest.resource.reference",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ccg-deployment","ImplementationGuide.manifest.resource.example[x]","ImplementationGuide.manifest.resource.example[x]","","","",0,1,"","","","boolean {[]} {[]}
canonical {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/StructureDefinition]]}","Is an example/What is this an example of?","If true or a reference, indicates the resource is an example instance.  If a reference is present, indicates that the example is an example of the specified profile.","Typically, conformance resources and knowledge resources are directly part of the implementation guide, with their normal meaning, and patient linked resources are usually examples. However this is not always true.","","","","","","","","",,,,,"",,,,"ImplementationGuide.manifest.resource.example[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ccg-deployment","ImplementationGuide.manifest.resource.relativePath","ImplementationGuide.manifest.resource.relativePath","","","",0,1,"","","","url {[]} {[]}
","Relative path for page in IG","The relative path for primary page for this resource within the IG.","Appending 'rendering' + ""/"" + this should resolve to the resource page.","","","","","","","","",,,,,"",,,,"ImplementationGuide.manifest.resource.relativePath",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ccg-deployment","ImplementationGuide.manifest.page","ImplementationGuide.manifest.page","","","",0,*,"","","","BackboneElement {[]} {[]}
","HTML page within the parent IG","Information about a page within the IG.","","Allows validation of hyperlinks from a derived IG to this IG without a local copy of the IG.","","","","","","","",,,,,"",,,,"ImplementationGuide.manifest.page",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ccg-deployment","ImplementationGuide.manifest.page.id","ImplementationGuide.manifest.page.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ccg-deployment","ImplementationGuide.manifest.page.extension","ImplementationGuide.manifest.page.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ccg-deployment","ImplementationGuide.manifest.page.modifierExtension","ImplementationGuide.manifest.page.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ccg-deployment","ImplementationGuide.manifest.page.name","ImplementationGuide.manifest.page.name","","","",1,1,"","","","string {[]} {[]}
","HTML page name","Relative path to the page.","Appending 'rendering' + ""/"" + this should resolve to the page.","","","","","","","","",,,,,"",,,,"ImplementationGuide.manifest.page.name",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ccg-deployment","ImplementationGuide.manifest.page.title","ImplementationGuide.manifest.page.title","","","",0,1,"","","","string {[]} {[]}
","Title of the page, for references","Label for the page intended for human display.","","Allows generation of labels for markdown-generated hyperlinks.","","","","","","","",,,,,"",,,,"ImplementationGuide.manifest.page.title",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ccg-deployment","ImplementationGuide.manifest.page.anchor","ImplementationGuide.manifest.page.anchor","","","",0,*,"","","","string {[]} {[]}
","Anchor available on the page","The name of an anchor available on the page.","Appending 'rendering' + ""/"" + page.name + ""#"" + page.anchor should resolve to the anchor.","Allows validation of hyperlinks from a derived IG to this IG without a local copy of the IG.","","","","","","","",,,,,"",,,,"ImplementationGuide.manifest.page.anchor",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ccg-deployment","ImplementationGuide.manifest.image","ImplementationGuide.manifest.image","","","",0,*,"","","","string {[]} {[]}
","Image within the IG","Indicates a relative path to an image that exists within the IG.","","Allows validation of image links from a derived IG to this IG without a local copy of the IG.","","","","","","","",,,,,"",,,,"ImplementationGuide.manifest.image",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ccg-deployment","ImplementationGuide.manifest.other","ImplementationGuide.manifest.other","","","",0,*,"","","","string {[]} {[]}
","Additional linkable file in IG","Indicates the relative path of an additional non-page, non-image file that is part of the IG - e.g. zip, jar and similar files that could be the target of a hyperlink in a derived IG.","","Allows validation of links from a derived IG to this IG without a local copy of the IG.","","","","","","","",,,,,"",,,,"ImplementationGuide.manifest.other",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
